Date,Open,High,Low,Close,Adj Close,Volume
2021-01-28,45.939999,46.590000,45.689999,46.060001,40.727249,24967200
2021-01-29,45.549999,46.040001,44.509998,44.840000,39.648502,38961100
2021-02-01,45.580002,45.580002,44.290001,44.919998,39.719238,24412400
2021-02-02,45.810001,46.990002,45.279999,45.630001,40.347042,31940400
2021-02-03,45.630001,47.669998,45.419998,47.419998,41.929790,28459300
2021-02-04,47.880001,48.380001,47.250000,48.330002,42.734440,25280300
2021-02-05,49.180000,50.119999,49.040001,49.950001,44.166874,34980100
2021-02-08,50.919998,52.360001,50.709999,52.099998,46.067951,36998700
2021-02-09,50.669998,50.959999,49.770000,50.630001,45.528412,28977000
2021-02-10,50.630001,51.419998,50.389999,51.119999,45.969036,25723800
2021-02-11,50.889999,50.930000,48.779999,49.840000,44.818005,26972200
2021-02-12,49.430000,50.709999,49.410000,50.520000,45.429493,19756700
2021-02-16,51.959999,52.529999,51.619999,52.040001,46.796337,28060100
2021-02-17,52.349998,53.270000,51.799999,52.849998,47.524715,25509700
2021-02-18,52.810001,52.939999,51.860001,52.020000,46.778355,20627600
2021-02-19,52.110001,52.560001,51.919998,52.369999,47.093086,22607200
2021-02-22,52.590000,54.810001,52.590000,54.299999,48.828613,36435100
2021-02-23,54.980000,55.259998,53.740002,55.049999,49.503033,33527900
2021-02-24,55.189999,57.000000,54.869999,56.700001,50.986782,28728600
2021-02-25,56.980000,57.250000,55.349998,55.759998,50.141499,29670900
2021-02-26,54.410000,55.060001,53.119999,54.369999,48.891556,35291000
2021-03-01,56.470001,57.610001,56.130001,56.400002,50.717007,36998300
2021-03-02,56.650002,56.959999,56.020000,56.070000,50.420258,30302600
2021-03-03,56.419998,57.959999,55.880001,56.520000,50.824917,35358900
2021-03-04,57.119999,59.470001,57.099998,58.709999,52.794247,52137500
2021-03-05,59.830002,61.049999,59.110001,60.930000,54.790562,51429800
2021-03-08,61.580002,61.610001,59.820000,60.869999,54.736603,38154600
2021-03-09,60.610001,61.389999,59.470001,59.930000,53.891319,35645900
2021-03-10,60.520000,61.919998,60.029999,61.770000,55.545914,31579100
2021-03-11,61.779999,62.549999,61.259998,61.310001,55.132271,24802600
2021-03-12,61.549999,62.369999,61.500000,61.970001,55.725761,20422700
2021-03-15,61.490002,61.860001,59.869999,60.389999,54.304966,31243600
2021-03-16,59.540001,59.660000,58.439999,59.110001,53.153950,30624800
2021-03-17,58.689999,59.730000,58.619999,59.369999,53.387745,25575500
2021-03-18,58.810001,58.970001,56.520000,56.810001,51.085693,38622800
2021-03-19,56.709999,57.470001,55.810001,56.490002,50.797935,84439400
2021-03-22,56.500000,56.860001,55.900002,55.910000,50.276382,29315100
2021-03-23,54.939999,56.290001,54.450001,55.220001,49.655907,33493300
2021-03-24,56.080002,57.279999,56.080002,56.340000,50.663052,29781800
2021-03-25,55.209999,56.500000,54.500000,56.180000,50.519180,31495900
2021-03-26,57.299999,57.779999,56.520000,57.709999,51.895008,34226500
2021-03-29,57.340000,57.820000,56.740002,57.400002,51.616249,21144400
2021-03-30,56.860001,57.360001,56.490002,56.689999,50.977787,20303400
2021-03-31,56.349998,56.630001,55.799999,55.830002,50.204449,23686500
2021-04-01,56.320000,57.450001,56.139999,57.389999,51.607246,23194500
2021-04-05,57.299999,57.320000,56.139999,56.500000,50.806938,23264800
2021-04-06,56.840000,57.540001,56.259998,56.340000,50.663052,18926300
2021-04-07,56.389999,56.770000,56.240002,56.590000,50.887859,22385000
2021-04-08,55.930000,56.080002,55.320000,56.000000,50.357315,21999300
2021-04-09,56.000000,56.439999,55.529999,55.869999,50.240414,20020700
2021-04-12,56.759998,56.790001,55.310001,55.500000,49.907692,20238800
2021-04-13,55.299999,55.980000,55.090000,55.709999,50.096539,19370600
2021-04-14,56.410000,58.009998,56.250000,57.320000,51.544308,28051100
2021-04-15,57.419998,57.419998,56.779999,56.980000,51.238567,23250300
2021-04-16,57.360001,57.680000,56.439999,56.660000,50.950809,22752000
2021-04-19,56.750000,57.139999,55.959999,56.480000,50.788944,21123300
2021-04-20,56.470001,56.470001,54.779999,55.290001,49.718857,21782100
2021-04-21,54.500000,56.130001,54.299999,56.000000,50.357315,16625600
2021-04-22,55.990002,55.990002,55.020000,55.270000,49.700867,21600100
2021-04-23,55.270000,55.939999,55.180000,55.570000,49.970634,15337900
2021-04-26,55.470001,56.290001,55.439999,55.680000,50.069561,16083800
2021-04-27,56.009998,56.630001,55.810001,56.410000,50.726006,19278600
2021-04-28,56.910000,58.459999,56.790001,58.110001,52.254707,24729800
2021-04-29,58.919998,59.480000,58.150002,58.939999,53.001072,27318400
2021-04-30,58.330002,58.889999,57.160000,57.240002,51.472370,30518400
2021-05-03,57.980000,58.990002,57.740002,58.820000,52.893166,20509600
2021-05-04,59.000000,59.500000,58.509998,59.189999,53.225883,23522200
2021-05-05,59.770000,61.049999,59.400002,60.970001,54.826523,31526200
2021-05-06,60.860001,61.639999,60.029999,61.549999,55.348080,26836800
2021-05-07,61.070000,62.470001,60.849998,62.430000,56.139412,33610600
2021-05-10,63.240002,64.019997,62.529999,62.580002,56.274300,31956600
2021-05-11,61.630001,62.389999,60.389999,60.590000,54.484814,34563800
2021-05-12,60.009998,61.680000,59.750000,60.040001,54.776760,34426500
2021-05-13,59.000000,60.450001,58.750000,59.299999,54.101639,24268200
2021-05-14,59.930000,60.880001,59.930000,60.770000,55.442772,20735400
2021-05-17,60.540001,62.250000,60.430000,62.189999,56.738289,25282500
2021-05-18,62.000000,62.299999,60.400002,60.430000,55.132568,25170800
2021-05-19,59.099998,59.860001,58.419998,58.980000,53.809685,28889800
2021-05-20,58.950001,59.150002,58.240002,58.840000,53.681957,20692500
2021-05-21,59.419998,59.830002,58.849998,58.919998,53.754951,20792700
2021-05-24,59.080002,59.799999,58.689999,59.610001,54.384457,18400300
2021-05-25,59.500000,59.540001,58.119999,58.259998,53.152798,25616100
2021-05-26,58.250000,59.119999,57.900002,58.939999,53.773190,21698700
2021-05-27,59.230000,59.700001,58.020000,58.560001,53.426506,33556000
2021-05-28,58.730000,58.799999,58.110001,58.369999,53.253159,19246800
2021-06-01,59.450001,60.700001,59.450001,60.459999,55.159946,28474200
2021-06-02,60.750000,61.310001,60.169998,60.939999,55.597870,22978300
2021-06-03,60.549999,61.410000,60.349998,61.180000,55.816830,20272800
2021-06-04,61.459999,61.700001,60.779999,61.450001,56.063156,20427800
2021-06-07,61.330002,61.730000,61.020000,61.049999,55.698219,15477900
2021-06-08,61.500000,62.480000,60.669998,62.130001,56.683552,28953400
2021-06-09,62.669998,63.419998,62.189999,62.650002,57.157967,29133000
2021-06-10,63.610001,63.980000,62.250000,62.750000,57.249199,27488700
2021-06-11,63.009998,63.189999,62.139999,62.169998,56.720043,17631700
2021-06-14,62.299999,62.779999,61.570000,62.070000,56.628811,16997200
2021-06-15,62.480000,64.400002,62.349998,64.330002,58.690697,30717100
2021-06-16,64.320000,64.800003,63.560001,64.099998,58.480854,24803200
2021-06-17,63.860001,64.459999,61.270000,61.990002,56.555824,28491800
2021-06-18,61.000000,61.549999,60.240002,60.400002,55.105202,39590700
2021-06-21,60.930000,62.700001,60.900002,62.590000,57.103222,33145400
2021-06-22,62.849998,64.010002,62.230000,63.790001,58.198032,25140400
2021-06-23,64.050003,64.699997,63.580002,64.260002,58.626835,20701600
2021-06-24,64.150002,64.559998,63.810001,64.519997,58.864033,19568400
2021-06-25,64.610001,64.930000,64.360001,64.660004,58.991768,18438300
2021-06-28,64.559998,64.559998,62.750000,63.009998,57.486408,20570000
2021-06-29,63.209999,63.770000,62.590000,62.619999,57.130592,19579300
2021-06-30,62.700001,63.230000,62.450001,63.080002,57.550270,17875500
2021-07-01,64.330002,64.419998,62.770000,63.259998,57.714493,22530300
2021-07-02,63.009998,63.320000,62.419998,63.169998,57.632381,14555300
2021-07-06,62.750000,62.759998,60.900002,61.369999,55.990177,22110800
2021-07-07,61.180000,61.810001,59.619999,60.410000,55.114330,21671400
2021-07-08,59.450001,60.709999,59.310001,60.139999,54.867996,18935900
2021-07-09,60.700001,61.450001,60.240002,61.230000,55.862446,20086000
